encounter_file,rate_walk,land_lvl0,land_species0,land_lvl1,land_species1,land_lvl2,land_species2,land_lvl3,land_species3,land_lvl4,land_species4,land_lvl5,land_species5,land_lvl6,land_species6,land_lvl7,land_species7,land_lvl8,land_species8,land_lvl9,land_species9,land_lvl10,land_species10,land_lvl11,land_species11,swarm_species0,swarm_species1,land_species_morn0,land_species_morn1,land_species_nite0,land_species_nite1,radar_species0,radar_species1,radar_species2,radar_species3,rate_form0,rate_form1,rate_form2,rate_form3,rate_form4,unown_tbl,ruby0,ruby1,sapphire0,sapphire1,emerald0,emerald1,firered0,firered1,leafgreen0,leafgreen1,rate_surf,lvl_max_surf0,lvl_min_surf0,species_surf0,lvl_max_surf1,lvl_min_surf1,species_surf1,lvl_max_surf2,lvl_min_surf2,species_surf2,lvl_max_surf3,lvl_min_surf3,species_surf3,lvl_max_surf4,lvl_min_surf4,species_surf4,rate_oldrod,lvl_max_oldrod0,lvl_min_oldrod0,species_oldrod0,lvl_max_oldrod1,lvl_min_oldrod1,species_oldrod1,lvl_max_oldrod2,lvl_min_oldrod2,species_oldrod2,lvl_max_oldrod3,lvl_min_oldrod3,species_oldrod3,lvl_max_oldrod4,lvl_min_oldrod4,species_oldrod4,rate_goodrod,lvl_max_goodrod0,lvl_min_goodrod0,species_goodrod0,lvl_max_goodrod1,lvl_min_goodrod1,species_goodrod1,lvl_max_goodrod2,lvl_min_goodrod2,species_goodrod2,lvl_max_goodrod3,lvl_min_goodrod3,species_goodrod3,lvl_max_goodrod4,lvl_min_goodrod4,species_goodrod4,rate_superrod,lvl_max_superrod0,lvl_min_superrod0,species_superrod0,lvl_max_superrod1,lvl_min_superrod1,species_superrod1,lvl_max_superrod2,lvl_min_superrod2,species_superrod2,lvl_max_superrod3,lvl_min_superrod3,species_superrod3,lvl_max_superrod4,lvl_min_superrod4,species_superrod4
0,0,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,0,0,0,0,0,0,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,10,30,20,SPECIES_TENTACOOL,30,20,SPECIES_SHELLOS,40,20,SPECIES_TENTACRUEL,40,20,SPECIES_TENTACRUEL,40,20,SPECIES_GASTRODON,25,6,4,SPECIES_MAGIKARP,7,3,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,15,5,SPECIES_MAGIKARP,50,20,15,SPECIES_MAGIKARP,20,15,SPECIES_FINNEON,25,10,SPECIES_MAGIKARP,25,10,SPECIES_FINNEON,25,10,SPECIES_FINNEON,75,55,30,SPECIES_GYARADOS,40,30,SPECIES_LUMINEON,50,20,SPECIES_STARYU,55,40,SPECIES_LUMINEON,55,40,SPECIES_LUMINEON
1,0,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,0,0,0,0,0,0,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,10,30,20,SPECIES_PSYDUCK,30,20,SPECIES_PSYDUCK,40,20,SPECIES_GOLDUCK,40,20,SPECIES_GOLDUCK,40,20,SPECIES_GOLDUCK,25,6,4,SPECIES_MAGIKARP,7,3,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,15,5,SPECIES_MAGIKARP,50,20,15,SPECIES_MAGIKARP,20,15,SPECIES_BARBOACH,25,10,SPECIES_MAGIKARP,25,10,SPECIES_BARBOACH,25,10,SPECIES_BARBOACH,75,40,30,SPECIES_GYARADOS,40,30,SPECIES_WHISCASH,55,40,SPECIES_GYARADOS,55,40,SPECIES_WHISCASH,55,40,SPECIES_WHISCASH
2,0,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,100,100,0,0,0,0,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,10,30,20,SPECIES_TENTACOOL,30,20,SPECIES_SHELLOS,40,20,SPECIES_TENTACRUEL,30,20,SPECIES_WINGULL,40,20,SPECIES_GASTRODON,25,6,4,SPECIES_MAGIKARP,7,3,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,15,5,SPECIES_MAGIKARP,50,20,15,SPECIES_MAGIKARP,20,15,SPECIES_REMORAID,25,10,SPECIES_MAGIKARP,25,10,SPECIES_REMORAID,25,10,SPECIES_REMORAID,75,40,30,SPECIES_GYARADOS,40,30,SPECIES_OCTILLERY,55,40,SPECIES_GYARADOS,55,40,SPECIES_OCTILLERY,55,40,SPECIES_OCTILLERY
3,0,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,100,100,0,0,0,0,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,10,40,30,SPECIES_TENTACOOL,40,30,SPECIES_WINGULL,50,30,SPECIES_TENTACRUEL,50,30,SPECIES_TENTACRUEL,50,30,SPECIES_PELIPPER,25,6,4,SPECIES_MAGIKARP,7,3,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,15,5,SPECIES_MAGIKARP,50,20,15,SPECIES_MAGIKARP,20,15,SPECIES_REMORAID,25,10,SPECIES_MAGIKARP,25,10,SPECIES_REMORAID,25,10,SPECIES_REMORAID,75,55,30,SPECIES_GYARADOS,40,30,SPECIES_OCTILLERY,50,20,SPECIES_STARYU,55,40,SPECIES_OCTILLERY,55,40,SPECIES_OCTILLERY
4,0,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,0,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,100,100,0,0,0,0,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,10,40,30,SPECIES_WINGULL,50,30,SPECIES_PELIPPER,50,30,SPECIES_PELIPPER,50,30,SPECIES_TENTACRUEL,50,30,SPECIES_TENTACRUEL,25,6,4,SPECIES_MAGIKARP,7,3,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,15,5,SPECIES_MAGIKARP,50,20,15,SPECIES_MAGIKARP,20,15,SPECIES_REMORAID,25,10,SPECIES_MAGIKARP,25,10,SPECIES_REMORAID,25,10,SPECIES_REMORAID,75,55,30,SPECIES_GYARADOS,40,30,SPECIES_OCTILLERY,30,20,SPECIES_LUVDISC,55,40,SPECIES_OCTILLERY,55,40,SPECIES_OCTILLERY
5,10,5,SPECIES_GEODUDE,6,SPECIES_GEODUDE,5,SPECIES_ZUBAT,6,SPECIES_ZUBAT,4,SPECIES_GEODUDE,7,SPECIES_GEODUDE,6,SPECIES_ONIX,8,SPECIES_ONIX,8,SPECIES_GEODUDE,7,SPECIES_ZUBAT,8,SPECIES_GEODUDE,7,SPECIES_ZUBAT,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_ZUBAT,SPECIES_ZUBAT,SPECIES_ZUBAT,SPECIES_ZUBAT,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_GEODUDE,0,0,0,0,0,0,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_GEODUDE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE
6,10,6,SPECIES_GEODUDE,7,SPECIES_GEODUDE,6,SPECIES_ZUBAT,7,SPECIES_ZUBAT,5,SPECIES_GEODUDE,8,SPECIES_GEODUDE,7,SPECIES_ONIX,9,SPECIES_ONIX,9,SPECIES_GEODUDE,8,SPECIES_ZUBAT,9,SPECIES_GEODUDE,8,SPECIES_ZUBAT,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_ZUBAT,SPECIES_ZUBAT,SPECIES_ZUBAT,SPECIES_ZUBAT,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_GEODUDE,0,0,0,0,0,0,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_GEODUDE,SPECIES_GEODUDE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE
7,30,9,SPECIES_SHELLOS,10,SPECIES_SHINX,9,SPECIES_BUIZEL,10,SPECIES_SHELLOS,10,SPECIES_BUIZEL,11,SPECIES_SHELLOS,9,SPECIES_PACHIRISU,11,SPECIES_PACHIRISU,11,SPECIES_BUIZEL,12,SPECIES_SHELLOS,11,SPECIES_BUIZEL,12,SPECIES_SHELLOS,SPECIES_ELECTRIKE,SPECIES_ELECTRIKE,SPECIES_BUIZEL,SPECIES_SHELLOS,SPECIES_BUIZEL,SPECIES_SHELLOS,SPECIES_MAREEP,SPECIES_MAREEP,SPECIES_MAREEP,SPECIES_MAREEP,0,0,0,0,0,0,SPECIES_BUIZEL,SPECIES_SHELLOS,SPECIES_BUIZEL,SPECIES_SHELLOS,SPECIES_BUIZEL,SPECIES_SHELLOS,SPECIES_BUIZEL,SPECIES_SHELLOS,SPECIES_BUIZEL,SPECIES_SHELLOS,10,30,20,SPECIES_SHELLOS,30,20,SPECIES_TENTACOOL,40,20,SPECIES_GASTRODON,40,20,SPECIES_GASTRODON,40,20,SPECIES_TENTACRUEL,25,6,4,SPECIES_MAGIKARP,7,3,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,15,5,SPECIES_MAGIKARP,50,20,15,SPECIES_MAGIKARP,20,15,SPECIES_FINNEON,25,10,SPECIES_MAGIKARP,25,10,SPECIES_FINNEON,25,10,SPECIES_FINNEON,75,55,30,SPECIES_GYARADOS,40,30,SPECIES_LUMINEON,50,20,SPECIES_SHELLDER,55,40,SPECIES_LUMINEON,55,40,SPECIES_LUMINEON
8,30,11,SPECIES_BUNEARY,10,SPECIES_BUDEW,10,SPECIES_WURMPLE,12,SPECIES_KRICKETOT,11,SPECIES_BUDEW,12,SPECIES_BIDOOF,12,SPECIES_SILCOON,12,SPECIES_CASCOON,13,SPECIES_BUNEARY,13,SPECIES_GASTLY,14,SPECIES_BEAUTIFLY,14,SPECIES_DUSTOX,SPECIES_SLAKOTH,SPECIES_SLAKOTH,SPECIES_WURMPLE,SPECIES_BUDEW,SPECIES_KRICKETOT,SPECIES_HOOTHOOT,SPECIES_NINCADA,SPECIES_NINCADA,SPECIES_NINCADA,SPECIES_NINCADA,0,0,0,0,0,0,SPECIES_SEEDOT,SPECIES_SEEDOT,SPECIES_BUNEARY,SPECIES_GASTLY,SPECIES_PINECO,SPECIES_PINECO,SPECIES_CATERPIE,SPECIES_METAPOD,SPECIES_WEEDLE,SPECIES_KAKUNA,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE
9,30,28,SPECIES_MAGMAR,29,SPECIES_MAGNEMITE,29,SPECIES_MAGMAR,29,SPECIES_FLOATZEL,30,SPECIES_FLOATZEL,30,SPECIES_GASTRODON,28,SPECIES_MAGNEMITE,30,SPECIES_MAGNEMITE,31,SPECIES_FLOATZEL,31,SPECIES_GASTRODON,31,SPECIES_FLOATZEL,31,SPECIES_GASTRODON,SPECIES_MAGMAR,SPECIES_MAGNEMITE,SPECIES_MAGMAR,SPECIES_FLOATZEL,SPECIES_GASTRODON,SPECIES_FLOATZEL,SPECIES_ARON,SPECIES_ARON,SPECIES_ARON,SPECIES_ARON,0,0,0,0,0,0,SPECIES_FLOATZEL,SPECIES_GASTRODON,SPECIES_FLOATZEL,SPECIES_GASTRODON,SPECIES_FLOATZEL,SPECIES_GASTRODON,SPECIES_FLOATZEL,SPECIES_GASTRODON,SPECIES_FLOATZEL,SPECIES_GASTRODON,10,30,20,SPECIES_TENTACOOL,30,20,SPECIES_SHELLOS,40,20,SPECIES_TENTACRUEL,40,20,SPECIES_TENTACRUEL,40,20,SPECIES_GASTRODON,25,6,4,SPECIES_MAGIKARP,7,3,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,10,5,SPECIES_MAGIKARP,15,5,SPECIES_MAGIKARP,50,20,15,SPECIES_MAGIKARP,20,15,SPECIES_FINNEON,25,10,SPECIES_MAGIKARP,25,10,SPECIES_FINNEON,25,10,SPECIES_FINNEON,75,55,30,SPECIES_GYARADOS,40,30,SPECIES_LUMINEON,50,20,SPECIES_SHELLDER,55,40,SPECIES_LUMINEON,55,40,SPECIES_LUMINEON
